"ID","ID DEPATAMENTO","DEPARTAMENTO","ID MUNICIPIO","MUNICIPIO","ID LOCALIDAD","LOCALIDAD","AÑO SERVICIO","MES SERVICIO","ENERGÍA ACTIVA","ENERGÍA REACTIVA","POTENCIA MÁXIMA","DÍA DE DEMANDA MÁXIMA","FECHA DE DEMANDA MÁXIMA","PROMEDIO DIARIO EN HORAS"
3298,19,"cauca",19418,"lopez de micay",19418009,"noanamito (lopez de micay - cauca)",2020,12,7545,2498,40,"miercoles","2020-12-30T20:00",7.58
3299,19,"cauca",19418,"lopez de micay",19418012,"san antonio de chuare (lopez de micay - cauca)",2020,12,10021,3301,6054,"jueves","2020-12-24T18:45",7.42
3300,19,"cauca",19418,"lopez de micay",19418019,"zaragoza (lopez de micay - cauca)",2020,12,11750,5418,5008,"jueves","2020-12-24T20:30",9.41
3301,19,"cauca",19809,"timbiqui",19809014,"chacon (timbiqui - cauca)",2020,12,4584,1092,2738,"jueves","2020-12-31T21:45",6.59
3302,19,"cauca",19809,"timbiqui",19809003,"coteje (timbiqui - cauca)",2020,12,7629,4343,3236,"sabado","2020-12-05T18:30",9.7
3303,19,"cauca",19809,"timbiqui",19809023,"puerto saija (timbiqui - cauca)",2020,12,33577,11703,16333,"jueves","2020-12-24T19:15",7.5
3304,19,"cauca",19809,"timbiqui",19809007,"san jose (timbiqui - cauca)",2020,12,8763,5126,4447,"jueves","2020-12-31T19:30",7.32
3305,19,"cauca",19809,"timbiqui",19809008,"santa maria (timbiqui - cauca)",2020,12,17433,6834,7853,"miercoles","2020-12-30T19:00",9.41
3306,27,"choco",27006,"acandi",27006000,"acandi (acandi - choco)",2020,12,164425,62119,11037,"miercoles","2020-12-23T21:00",23.49
3307,27,"choco",27006,"acandi",27006003,"capurgana (acandi - choco)",2020,12,164425,62119,35660,"jueves","2020-12-31T19:45",20.17
3308,27,"choco",27006,"acandi",27006007,"san francisco (acandi - choco)",2020,12,22437,7054,1225,"jueves","2020-12-31T19:00",8.38
3309,27,"choco",27025,"alto baudo (pie de pato)",27025000,"ciudad baudo - pie de pato (alto baudo - choco)",2020,12,45363,12409,10842,"domingo","2020-12-07T00:15",23.43
3310,27,"choco",27075,"bahia solano (mutis)",27075001,"cupica (bahia solano - choco)",2020,12,58899,22302,13236,"domingo","2020-12-20T19:30",24
3311,27,"choco",27075,"bahia solano (mutis)",27075002,"el valle (bahia solano - choco)",2020,12,156702,62119,33502,"lunes","2020-12-28T19:00",23.52
3312,27,"choco",27077,"bajo baudo (pizarro)",27077905,"buenavista (bajo baudo (pizarro) - choco)",2020,12,5787,680,2787,"miercoles","2020-12-23T20:30",7.49
3313,27,"choco",27077,"bajo baudo (pizarro)",27077000,"pizarro (bajo baudo (pizarro) - choco)",2020,12,164425,62119,3923,"lunes","2020-12-07T19:00",23.45
3314,27,"choco",27099,"bojaya (bellavista)",27099000,"bellavista (bojaya (bellavista) - choco)",2020,12,41555,17093,20949,"lunes","2020-12-07T18:45",8.02
3315,27,"choco",27099,"bojaya (bellavista)",27099002,"la loma de bojaya (bojaya (bellavista) - choco)",2020,12,12909,6126,608,"sabado","2020-12-05T19:00",9.3
3316,27,"choco",27099,"bojaya (bellavista)",27099005,"napipi (bojaya (bellavista) - choco)",2020,12,10766,3467,608,"jueves","2020-12-31T22:00",6.37
3317,27,"choco",27099,"bojaya (bellavista)",27099008,"puerto conto (bojaya (bellavista) - choco)",2020,12,10426,2632,696,"miercoles","2020-12-23T20:15",6.03
3318,27,"choco",27250,"el litoral del san juan",27250000,"santa genoveva de docordo (el litoral del san juan - choco)",2020,12,70724,35325,16975,"jueves","2020-12-10T20:00",17.7
3319,27,"choco",27372,"jurado",27372000,"jurado (jurado - choco)",2020,12,158215,62119,2864,"jueves","2020-12-17T21:00",23.57
3320,27,"choco",27425,"medio atrato (bete)",27425000,"bete (medio atrato (bete) - choco)",2020,12,20830,10015,76,"jueves","2020-12-31T19:00",12.4
3321,27,"choco",27495,"nuqui",27495001,"arusi (nuqui - choco)",2020,12,9074,3826,496,"miercoles","2020-12-16T19:00",7.45
3322,27,"choco",27495,"nuqui",27495000,"nuqui (nuqui - choco)",2020,12,164425,62119,35660,"miercoles","2020-12-23T19:15",24
